Index,Task,EDD_Lmax,EDD_time,ERD_Lmax,ERD_time,Schrage_Lmax,Schrage_time,PreemptSchrage_Lmax,PreemptSchrage_time,Construction_Lmax,Construction_time,Carlier_Lmax,Carlier_time,LB,is_opt_EDD,avgE_EDD,avgE_ERD,avgE_Schrage,avgE_Construction,avgE_Carlier
31,data/100_Independent0031,1388,0.007576000000000000,4983,0.004698,1388,0.007960,1388,0.013023,1388,0.5723,1388,0.02134200000000000,1388,1,0.00%,259.01%,0.00%,0.00%,0.00%
32,data/100_Independent0032,1552,0.007354,4999,0.004824000000000000,1552,0.00809,1552,0.013548,1552,0.73271,1552,0.02217,1552,1,0.00%,222.10%,0.00%,0.00%,0.00%
33,data/100_Independent0033,1242,0.00736,4467,0.004842000000000000,1242,0.008394000000000000,1242,0.013089,1242,0.60397,1242,0.0240,1242,1,0.00%,259.66%,0.00%,0.00%,0.00%
34,data/100_Independent0034,1414,0.007112000000000000,5050,0.004822000000000000,1414,0.008321,1414,0.01254,1414,0.6009620000000000,1414,0.02276000000000000,1414,1,0.00%,257.14%,0.00%,0.00%,0.00%
35,data/100_Independent0035,1383,0.007779,4194,0.005040,1383,0.007898,1383,0.013287,1383,0.60889,1383,0.022477,1383,1,0.00%,203.25%,0.00%,0.00%,0.00%
36,data/100_Independent0036,1419,0.007283000000000000,4268,0.004636000000000000,1419,0.007898,1419,0.013276,1419,0.59128,1419,0.02244600000000000,1419,1,0.00%,200.78%,0.00%,0.00%,0.00%
37,data/100_Independent0037,1221,0.007255,3829,0.004694,1221,0.008351,1221,0.013584,1221,0.5999130000000000,1221,0.028978,1221,1,0.00%,213.60%,0.00%,0.00%,0.00%
38,data/100_Independent0038,1303,0.007580,4197,0.004820,1303,0.008676000000000000,1303,0.013546,1303,0.61084,1303,0.02266,1303,1,0.00%,222.10%,0.00%,0.00%,0.00%
39,data/100_Independent0039,1486,0.007521000000000000,5093,0.004727,1486,0.008737,1486,0.013385,1486,0.58851,1486,0.021975,1486,1,0.00%,242.73%,0.00%,0.00%,0.00%
40,data/100_Independent0040,154,0.00711,4551,0.004776,154,0.00823,154,0.01306900000000000,154,0.60577,154,0.02270300000000000,154,1,0.00%,2855.19%,0.00%,0.00%,0.00%
41,data/100_Independent0041,480,0.007414000000000000,4381,0.005035,480,0.00822,480,0.01350100000000000,480,0.60747,480,0.023373,480,1,0.00%,812.71%,0.00%,0.00%,0.00%
42,data/100_Independent0042,230,0.007035000000000000,4252,0.004933,230,0.008208,230,0.013202,230,0.61427,230,0.02326200000000000,230,1,0.00%,1748.70%,0.00%,0.00%,0.00%
43,data/100_Independent0043,483,0.007695,4768,0.004905,483,0.007861,483,0.01284700000000000,483,0.60574,483,0.021912,483,1,0.00%,887.16%,0.00%,0.00%,0.00%
44,data/100_Independent0044,185,0.007283,4237,0.004789,185,0.007800,185,0.012836,185,0.6106,185,0.020715,185,1,0.00%,2190.27%,0.00%,0.00%,0.00%
45,data/100_Independent0045,392,0.007241,3950,0.004875,392,0.007998,392,0.013543,392,0.61341,392,0.022417,392,1,0.00%,907.65%,0.00%,0.00%,0.00%
46,data/100_Independent0046,146,0.007493,4321,0.005075,146,0.008681,146,0.01347,146,0.58449,146,0.022655,146,1,0.00%,2859.59%,0.00%,0.00%,0.00%
47,data/100_Independent0047,61,0.007273,4469,0.004930000000000000,61,0.008129,61,0.013232,61,0.59707,61,0.022107,61,1,0.00%,7226.23%,0.00%,0.00%,0.00%
48,data/100_Independent0048,190,0.010749000000000000,5180,0.005192,190,0.008385,190,0.013662,190,0.58386,190,0.021897,190,1,0.00%,2626.32%,0.00%,0.00%,0.00%
49,data/100_Independent0049,343,0.00757,4380,0.004984,343,0.007948000000000000,343,0.012980,343,0.6180,343,0.021658,343,1,0.00%,1176.97%,0.00%,0.00%,0.00%
50,data/100_Independent0050,28,0.00696,4736,0.004793,28,0.008122,28,0.01290,28,0.61504,28,0.02247,28,1,0.00%,16814.29%,0.00%,0.00%,0.00%
51,data/100_Independent0051,38,0.007117,4989,0.004894,38,0.008208,38,0.013359,38,0.60892,38,0.02238500000000000,38,1,0.00%,13028.95%,0.00%,0.00%,0.00%
52,data/100_Independent0052,-87,0.007791,3638,0.004891000000000000,-87,0.008243,-87,0.01245700000000000,-87,0.5955190000000000,-87,0.021454,-87,1,0.00%,4281.61%,0.00%,0.00%,0.00%
53,data/100_Independent0053,84,0.007240,4667,0.004771,84,0.008180,84,0.013410,84,0.60500,84,0.02299,84,1,0.00%,5455.95%,0.00%,0.00%,0.00%
54,data/100_Independent0054,73,0.007584,4174,0.005011,73,0.008226,73,0.013271,73,0.6031290000000000,73,0.024497,73,1,0.00%,5617.81%,0.00%,0.00%,0.00%
55,data/100_Independent0055,10,0.007240,5043,0.004823,10,0.008803,10,0.013665,10,0.7278,10,0.023156,10,1,0.00%,50330.00%,0.00%,0.00%,0.00%
56,data/100_Independent0056,26,0.007208,4452,0.004838000000000000,26,0.008524,26,0.013627,26,0.63173,26,0.021781,26,1,0.00%,17023.08%,0.00%,0.00%,0.00%
57,data/100_Independent0057,130,0.007090,4018,0.004793000000000000,130,0.007903,130,0.013039,130,0.6187730000000000,130,0.022196,130,1,0.00%,2990.77%,0.00%,0.00%,0.00%
58,data/100_Independent0058,76,0.007402000000000000,3989,0.005487000000000000,76,0.007827000000000001,76,0.013595,76,0.62058,76,0.02174400000000000,76,1,0.00%,5148.68%,0.00%,0.00%,0.00%
59,data/100_Independent0059,33,0.007256,3265,0.004728000000000000,33,0.007862,33,0.013439,33,0.61513,33,0.021046,33,1,0.00%,9793.94%,0.00%,0.00%,0.00%
60,data/100_Independent0060,-100,0.006920,4428,0.009645000000000001,-100,0.007617,-100,0.013022,-100,0.6199310000000000,-100,0.02156000000000000,-100,1,0.00%,4528.00%,0.00%,0.00%,0.00%
61,data/100_Independent0061,38,0.007165,3879,0.004968,38,0.008071,38,0.013748,38,0.6321,38,0.021850,38,1,0.00%,10107.89%,0.00%,0.00%,0.00%
62,data/100_Independent0062,7,0.00685,4537,0.00475,7,0.007913,7,0.01349,7,0.60922,7,0.022710,7,1,0.00%,64714.29%,0.00%,0.00%,0.00%
63,data/100_Independent0063,-48,0.00730,3595,0.004861000000000000,-48,0.008105,-48,0.01317300000000000,-48,0.6159080000000000,-48,0.02221700000000000,-48,1,0.00%,7589.58%,0.00%,0.00%,0.00%
64,data/100_Independent0064,-183,0.00708,3763,0.00511,-183,0.007877,-183,0.012714,-183,0.6077750000000000,-183,0.02156,-183,1,0.00%,2156.28%,0.00%,0.00%,0.00%
65,data/100_Independent0065,84,0.007139000000000000,4671,0.004767,84,0.007824,84,0.013439,84,0.6106310000000000,84,0.022045,84,1,0.00%,5460.71%,0.00%,0.00%,0.00%
66,data/100_Independent0066,224,0.007194000000000000,4509,0.005806,224,0.008201,224,0.013659,224,0.58427,224,0.021233,224,1,0.00%,1912.95%,0.00%,0.00%,0.00%
67,data/100_Independent0067,73,0.007081,4343,0.00461,73,0.008008,73,0.013311,73,0.6143890000000000,73,0.023717,73,1,0.00%,5849.32%,0.00%,0.00%,0.00%
68,data/100_Independent0068,-6,0.007189,4081,0.004828000000000000,-6,0.008821,-6,0.013346,-6,0.60803,-6,0.022632,-6,1,0.00%,68116.67%,0.00%,0.00%,0.00%
69,data/100_Independent0069,34,0.007392000000000000,4506,0.004790,34,0.007921,34,0.01331,34,0.6302020000000000,34,0.024473,34,1,0.00%,13152.94%,0.00%,0.00%,0.00%
70,data/100_Independent0070,3777,0.004858,3777,0.005067,3777,0.006235,3777,0.010930,3777,0.6350460000000000,3777,0.01851000000000000,3777,1,0.00%,0.00%,0.00%,0.00%,0.00%
71,data/100_Independent0071,3779,0.004511,3779,0.00476,3779,0.006426,3779,0.011235,3779,0.62257,3779,0.017208,3779,1,0.00%,0.00%,0.00%,0.00%,0.00%
72,data/100_Independent0072,3838,0.004687,3838,0.004641,3838,0.006055,3838,0.01094,3838,0.62065,3838,0.018157,3838,1,0.00%,0.00%,0.00%,0.00%,0.00%
